INDICAÇÃO,TÍTULO,AUTOR,EDITORA,QUANT, VALOR UNITÁRIO, VALOR TOTAL
INFANTIL,A B Z BICHO,ANDERSON DE OLIVEIRA,ABACATTE,900, R$  62.00 ," R$  55,800.00 "
INFANTIL,AMARRA MEU CADARÇO ,JOÃO MARCOS,ABACATTE,900, R$  64.00 ," R$  57,600.00 "
INFANTIL,AQUILO QUE NÃO SE VÊ,CLOVIS LEVI,ABACATTE,900, R$  66.00 ," R$  59,400.00 "
INFANTIL,CABELINHO VERMELHO E O LOBO BOBO,SILVANA DE MENEZES,ABACATTE,900, R$  87.00 ," R$  78,300.00 "
INFANTIL,CONTOS ORTOGRAFICOS,MARILDA CASTANHA,ABACATTE,900, R$  65.00 ," R$  58,500.00 "
INFANTIL,TERRA DO TIRIMBINTIM,FABIANA GUIMARAES,ARMAZEM DA CULTURA,900, R$  55.00 ," R$  49,500.00 "
INFANTIL,UM CAOZINHO CHAMADO TECO,MARINA VIEIRA,ARMAZEM DA CULTURA,900, R$  56.00 ," R$  50,400.00 "
INFANTIL,A LINHA QUE ERA RETA ,CLARA MENDES,BAGAÇO,900, R$  35.00 ," R$  31,500.00 "
INFANTIL,CHAPÉU MAU E LOBINHO VERMELHO,JESSIER QUIRINO,BAGAÇO,900, R$  37.00 ," R$  33,300.00 "
INFANTIL,"FÁCIL DE SENTIR, DIFÍCIL DE FALAR ",HUGO MENDES,BAGAÇO,900, R$  41.00 ," R$  36,900.00 "
INFANTIL,FLORESTA ENCANTADA I ,VITOR MANUEL,BAGAÇO,900, R$  36.00 ," R$  32,400.00 "
INFANTIL,HISTÓRIAS DO ARCO DA VELHA,ELITA FERREIRA,BAGAÇO,900, R$  33.00 ," R$  29,700.00 "
INFANTIL,NA FOLIA DOS BICHOS ,EDMILSON LIMA,BAGAÇO,900, R$  31.00 ," R$  27,900.00 "
INFANTIL,NO OUTRO LADO DA PÁGINA ,ALEXANDRE AZEVEDO,BAGAÇO,900, R$  33.00 ," R$  29,700.00 "
INFANTIL,AS CORES NA CIDADE DE SÃO PAULO,JULIE TRIPENO,BAMBOLÊ,900, R$  30.00 ," R$  27,000.00 "
INFANTIL,HOJE É DOMINGO,SÔNIA TRAVASSOS,BAMBOLÊ,900, R$  30.00 ," R$  27,000.00 "
INFANTIL,LA EM CIMA DAQUELE MORRO,SÔNIA TRAVASSOS,BAMBOLÊ,900, R$  63.00 ," R$  56,700.00 "
INFANTIL,O LIVRO DOS TUTUS,BLANDINA FRANCO,BAMBOLÊ,900, R$  32.00 ," R$  28,800.00 "
INFANTIL,OS 2 PORQUINHOS E MEIO,LEO CUNHA & MARTA LAGARTA,BAMBOLÊ,900, R$  55.00 ," R$  49,500.00 "
INFANTIL,SE ESSA RUA FOSSE MINHA,PAULA GIANNINI,BAMBOLÊ,900, R$  63.00 ," R$  56,700.00 "
INFANTIL,SETE CARTAS DE OUTRO PLANETA,ANA CRISTINA MELO,BAMBOLÊ,900, R$  50.00 ," R$  45,000.00 "
INFANTIL,VOCÊ FAZ EU FAÇO TAMBÉM,"MARCELO JUCÁ, VANESSA PREZOTO",BAMBOLÊ,900, R$  58.00 ," R$  52,200.00 "
INFANTIL,CONTANDO CARNEIRINHOS,ARLENE HOLANDA ,BRASIL TROPICAL,900, R$  50.00 ," R$  45,000.00 "
INFANTIL,"O QUE É, O QUE É?",WAGNER CORTEZ,BRASIL TROPICAL,900, R$  60.00 ," R$  54,000.00 "
INFANTIL,TEM INDIO PRA TODO LADO ,VINICIOS FERRAZ,BRASIL TROPICAL,900, R$  55.00 ," R$  49,500.00 "
INFANTIL,"TOM, ELIS E CHICO ",MÔNICA MOTA,BRASIL TROPICAL,900, R$  60.00 ," R$  54,000.00 "
INFANTIL,A GALINHA XADREZ,ROGÉRIO TREZZA,BRINQUE BOOK,900, R$  65.00 ," R$  58,500.00 "
INFANTIL,A MACAQUINHA,MARTA ALTÉS,BRINQUE BOOK,900, R$  65.00 ," R$  58,500.00 "
INFANTIL,A ÚLTIMA HISTÓRIA ANTES DE DORMIR,NICOLA O'BRYNE,BRINQUE BOOK,900, R$  70.00 ," R$  63,000.00 "
INFANTIL,A VELHINHA QUE DAVA NOME ÀS COISAS,CYNTHIA RYLANT,BRINQUE BOOK,900, R$  65.00 ," R$  58,500.00 "
INFANTIL,A VERDADE SEGUNDO ARTHUR,TIM HOPGOOD,BRINQUE BOOK,900, R$  65.00 ," R$  58,500.00 "
INFANTIL,"BRUXA, BRUXA VENHA À MINHA FESTA",ARDEN DRUCE,BRINQUE BOOK,900, R$  65.00 ," R$  58,500.00 "
INFANTIL,IDEIA DE BONECO,ADRIANA FELICÍSSIMO,CASA DE LETRAS,900, R$  48.00 ," R$  43,200.00 "
INFANTIL,MEU BAIRRO - PESSOA E LUGARES,LISA BULLARD,CASA DE LETRAS,900, R$  48.00 ," R$  43,200.00 "
INFANTIL,MEU DIA - MANHÃ TARDE E NOITE,LISA BULLARD,CASA DE LETRAS,900, R$  45.00 ," R$  40,500.00 "
INFANTIL,O CIRCULO,VANESSA CAMPOS ROCHA,CASA DE LETRAS,900, R$  56.00 ," R$  50,400.00 "
INFANTIL,O QUADRADO ,VANESSA CAMPOS ROCHA,CASA DE LETRAS,900, R$  56.00 ," R$  50,400.00 "
INFANTIL,PARA AQUELES QUE QUEREM VOAR,PIRKKO VAINIO,CASA DE LETRAS,900, R$  50.00 ," R$  45,000.00 "
INFANTIL,SONHO DE UMA NOITE DE VERÃO,WILLIAM SHAKESPEARE,CASA DE LETRAS,900, R$  59.00 ," R$  53,100.00 "
INFANTIL,SUPER - EU : TUDO O QUE VOCÊ QUERIA SABER,LISA BULLARD,CASA DE LETRAS,900, R$  40.00 ," R$  36,000.00 "
INFANTIL,PROMOVENDO O HÁBITO DE LEITURA,LUANA VIGNON,CEREJA EDITORA,900, R$  52.00 ," R$  46,800.00 "
INFANTIL,ROBIN HOOD,MAURI KUNNAS,CEREJA EDITORA,900, R$  45.00 ," R$  40,500.00 "
INFANTIL,TUDO É RELATIVO,CLAUDIA RUEDA,CEREJA EDITORA,900, R$  45.00 ," R$  40,500.00 "
INFANTIL,UMA COISA É OUTRA COISA,ANA DIVA E KIKA ZANETTI,CEREJA EDITORA,900, R$  50.00 ," R$  45,000.00 "
INFANTIL,A CAIXA DE PREOCUPAÇÕES,SUZANNE CHIEW,CIRANDA CULTURAL,900, R$  35.00 ," R$  31,500.00 "
INFANTIL,A GALINHA RUIVA,DONALDO BUCHWITZ,CIRANDA CULTURAL,900, R$  15.00 ," R$  13,500.00 "
INFANTIL,A LEVEZA DAS PEDRAS,JONAS RIBEIRO,CIRANDA CULTURAL,900, R$  40.00 ," R$  36,000.00 "
