INDICAÇÃO,TÍTULO,AUTOR,EDITORA,QUANT,VALOR UNITÁRIO,VALOR TOTAL
INFANTIL,A B Z BICHO,ANDERSON DE OLIVEIRA,ABACATTE,900,62,55800
INFANTIL,AMARRA MEU CADARÇO ,JOÃO MARCOS,ABACATTE,900,64,57600
INFANTIL,AQUILO QUE NÃO SE VÊ,CLOVIS LEVI,ABACATTE,900,66,59400
INFANTIL,CABELINHO VERMELHO E O LOBO BOBO,SILVANA DE MENEZES,ABACATTE,900,87,78300
INFANTIL,CONTOS ORTOGRAFICOS,MARILDA CASTANHA,ABACATTE,900,65,58500
INFANTIL,TERRA DO TIRIMBINTIM,FABIANA GUIMARAES,ARMAZEM DA CULTURA,900,55,49500
INFANTIL,UM CAOZINHO CHAMADO TECO,MARINA VIEIRA,ARMAZEM DA CULTURA,900,56,50400
INFANTIL,A LINHA QUE ERA RETA ,CLARA MENDES,BAGAÇO,900,35,31500
INFANTIL,CHAPÉU MAU E LOBINHO VERMELHO,JESSIER QUIRINO,BAGAÇO,900,37,33300
INFANTIL,"FÁCIL DE SENTIR, DIFÍCIL DE FALAR ",HUGO MENDES,BAGAÇO,900,41,36900
INFANTIL,FLORESTA ENCANTADA I ,VITOR MANUEL,BAGAÇO,900,36,32400
INFANTIL,HISTÓRIAS DO ARCO DA VELHA,ELITA FERREIRA,BAGAÇO,900,33,29700
INFANTIL,NA FOLIA DOS BICHOS ,EDMILSON LIMA,BAGAÇO,900,31,27900
INFANTIL,NO OUTRO LADO DA PÁGINA ,ALEXANDRE AZEVEDO,BAGAÇO,900,33,29700
INFANTIL,AS CORES NA CIDADE DE SÃO PAULO,JULIE TRIPENO,BAMBOLÊ,900,30,27000
INFANTIL,HOJE É DOMINGO,SÔNIA TRAVASSOS,BAMBOLÊ,900,30,27000
INFANTIL,LA EM CIMA DAQUELE MORRO,SÔNIA TRAVASSOS,BAMBOLÊ,900,63,56700
INFANTIL,O LIVRO DOS TUTUS,BLANDINA FRANCO,BAMBOLÊ,900,32,28800
INFANTIL,OS 2 PORQUINHOS E MEIO,LEO CUNHA & MARTA LAGARTA,BAMBOLÊ,900,55,49500
INFANTIL,SE ESSA RUA FOSSE MINHA,PAULA GIANNINI,BAMBOLÊ,900,63,56700
INFANTIL,SETE CARTAS DE OUTRO PLANETA,ANA CRISTINA MELO,BAMBOLÊ,900,50,45000
INFANTIL,VOCÊ FAZ EU FAÇO TAMBÉM,"MARCELO JUCÁ, VANESSA PREZOTO",BAMBOLÊ,900,58,52200
INFANTIL,CONTANDO CARNEIRINHOS,ARLENE HOLANDA ,BRASIL TROPICAL,900,50,45000
INFANTIL,"O QUE É, O QUE É?",WAGNER CORTEZ,BRASIL TROPICAL,900,60,54000
INFANTIL,TEM INDIO PRA TODO LADO ,VINICIOS FERRAZ,BRASIL TROPICAL,900,55,49500
INFANTIL,"TOM, ELIS E CHICO ",MÔNICA MOTA,BRASIL TROPICAL,900,60,54000
INFANTIL,A GALINHA XADREZ,ROGÉRIO TREZZA,BRINQUE BOOK,900,65,58500
INFANTIL,A MACAQUINHA,MARTA ALTÉS,BRINQUE BOOK,900,65,58500
INFANTIL,A ÚLTIMA HISTÓRIA ANTES DE DORMIR,NICOLA O'BRYNE,BRINQUE BOOK,900,70,63000
INFANTIL,A VELHINHA QUE DAVA NOME ÀS COISAS,CYNTHIA RYLANT,BRINQUE BOOK,900,65,58500
INFANTIL,A VERDADE SEGUNDO ARTHUR,TIM HOPGOOD,BRINQUE BOOK,900,65,58500
INFANTIL,"BRUXA, BRUXA VENHA À MINHA FESTA",ARDEN DRUCE,BRINQUE BOOK,900,65,58500
INFANTIL,IDEIA DE BONECO,ADRIANA FELICÍSSIMO,CASA DE LETRAS,900,48,43200
INFANTIL,MEU BAIRRO - PESSOA E LUGARES,LISA BULLARD,CASA DE LETRAS,900,48,43200
INFANTIL,MEU DIA - MANHÃ TARDE E NOITE,LISA BULLARD,CASA DE LETRAS,900,45,40500
INFANTIL,O CIRCULO,VANESSA CAMPOS ROCHA,CASA DE LETRAS,900,56,50400
INFANTIL,O QUADRADO ,VANESSA CAMPOS ROCHA,CASA DE LETRAS,900,56,50400
INFANTIL,PARA AQUELES QUE QUEREM VOAR,PIRKKO VAINIO,CASA DE LETRAS,900,50,45000
INFANTIL,SONHO DE UMA NOITE DE VERÃO,WILLIAM SHAKESPEARE,CASA DE LETRAS,900,59,53100
INFANTIL,SUPER - EU : TUDO O QUE VOCÊ QUERIA SABER,LISA BULLARD,CASA DE LETRAS,900,40,36000
INFANTIL,PROMOVENDO O HÁBITO DE LEITURA,LUANA VIGNON,CEREJA EDITORA,900,52,46800
