INDICAÇÃO,TÍTULO,AUTOR,EDITORA,QUANT,VALOR UNITÁRIO,VALOR TOTAL,ISBN-13,ISBN-10,REFERÊNCIA,CONFIABILIDADE TOTAL
INFANTIL,A B Z BICHO,ANDERSON DE OLIVEIRA,ABACATTE,900,62,55800,9788562549519,8562549517,https://www.amazon.com/B-Z-Bicho-Anderson-Oliveira/dp/8562549517: Alta | https://www.buscape.com.br/livros/a-b-z-bicho-nova-ortografia-oliveira-anderson-de-9788562549519: Baixa | https://www.magazineluiza.com.br/livro-a-b-z-bicho/p/kd7g89bh1k/li/lltj/: Baixa | https://www.estantevirtual.com.br/livros/anderson-de-oliveira/a-b-z-bicho/2890220101: Baixa | https://www.amazon.com.br/B-Z-Bicho-Anderson-Oliveira/dp/8562549517: Baixa | ,Baixa
INFANTIL,AMARRA MEU CADARÇO ,JOÃO MARCOS,ABACATTE,900,64,57600,9788565732147,8565732142,https://www.abebooks.com/9788565732147/Amarra-meu-cadarço-João-Marcos-8565732142/plp: Alta | https://www.amazon.co.uk/Amarra-meu-cadarço/dp/8565732142: Alta | https://cristinasaliteraturainfantilejuvenil.blogspot.com/2018/12/amarra-meu-cadarco-de-joao-marcos-selo.html: Alta | https://loja.le.com.br/livro-infantil/amarra-meu-cadarco: Baixa | https://www.amazon.com.br/Amarra-meu-cadarço-João-Marcos/dp/8565732142: Baixa | ,Alta
INFANTIL,AQUILO QUE NÃO SE VÊ,CLOVIS LEVI,ABACATTE,900,66,59400,,859468004X; ISBN-13: 9788594680044,https://www.abebooks.co.uk/9788594680044/Aquilo-não-Vê-Clovis-Levi-859468004X/plp: Muito Alta | https://www.skoob.com.br/livro/pdf/aquilo-que-nao-se-ve/livro:717964/edicao:719715: Muito Alta | https://www.amazon.com.br/Aquilo-que-não-se-vê/dp/859468004X: Alta | https://www.amazon.com/Aquilo-que-não-Se-Vê/dp/859468004X: Alta | https://isbnsearch.org/: Muito Baixa | ,Alta
INFANTIL,CABELINHO VERMELHO E O LOBO BOBO,SILVANA DE MENEZES,ABACATTE,900,87,78300,9788568039177,8568039179,https://www.abebooks.com/books/search-number-code-10-13-digit/isbn.shtml: Baixa | https://www.biblio.com/isbn/: Baixa | https://www.bookfinder.com/isbn_search/: Muito Baixa | https://isbnsearch.org/: Muito Baixa | https://books.google.com/: Muito Baixa | ,Muito Baixa
INFANTIL,CONTOS ORTOGRAFICOS,MARILDA CASTANHA,ABACATTE,900,65,58500,9788562549878,8562549878,https://www.abebooks.com/9788562549878/Contos-Ortográficos-Marilda-Castanha-8562549878/plp: Muito Alta | https://www.globobooks.com.br/produto/5635365-Contos-Ortograficos-Abacatte-978856: Muito Alta | https://www.fnac.pt/mp9505243/Contos-Ortograficos: Alta | https://www.amazon.com/Contos-Ortográficos-Marilda-Castanha/dp/8562549878: Alta | https://www.estantevirtual.com.br/livros/marilda-castanha/contos-ortograficos/2818974621: Alta | ,Alta
INFANTIL,TERRA DO TIRIMBINTIM,FABIANA GUIMARAES,ARMAZEM DA CULTURA,900,55,49500,,8584920315; ISBN-13: 9788584920310,https://www.abebooks.co.uk/9788584920310/terra-tirimbintim-8584920315/plp: Alta | https://www.mercadolivre.com.br/terra-do-tirimbintim-de-fabiana-guimaraes-editora-ed-armazem-da-cultura10420-em-portugus/p/MLB31380603: Alta | https://www.magazineluiza.com.br/terra-do-tirimbintim-armazem-da-cultura/p/ffe9ced5ke/li/lltj/: Alta | https://www.fnac.pt/mp19767391/Terra-do-Tirimbintim: Baixa | https://www.amazon.com.br/Terra-do-Tirimbintim-Fabiana-Guimarães/dp/8584920315: Baixa | ,Alta
INFANTIL,UM CAOZINHO CHAMADO TECO,MARINA VIEIRA,ARMAZEM DA CULTURA,900,56,50400,978-85-8492-089-1,,https://armazemdacultura.com.br/products/um-caozinho-chamado-teco?srsltid=AfmBOoruu2AJJTANypFjj9fwvkk7VrX_1gLGP0XYdJbn40Vjf0gOCJGx: Muito Alta | ,Muito Alta
INFANTIL,A LINHA QUE ERA RETA ,CLARA MENDES,BAGAÇO,900,35,31500,978-85-8165-635-9,,"https://www.bagaco.com.br/produtos/a-linha-que-era-reta-clara-ferreira-mendes/: Muito Alta | https://www.varejao.com.br/Livro/1035599/LINHA-QUE-ERA-RETA,-A: Alta | https://www.editorabagaco.com.br/: Alta | ",Alta
INFANTIL,CHAPÉU MAU E LOBINHO VERMELHO,JESSIER QUIRINO,BAGAÇO,900,37,33300,9788574091259,8574091251,https://www.skoob.com.br/livro/pdf/chapeu-mau-e-lobinho-vermelho/livro:323727/edicao:362761: Muito Alta | https://www.skoob.com.br/chapeu-mau-e-lobinho-vermelho-323727ed362761.html: Muito Alta | https://www.bagaco.com.br/produtos/chapeu-mau-e-lobinho-vermelho-jessier-quirino/: Muito Alta | https://www.estantevirtual.com.br/livros/jessier-quirino/chapeu-mau-e-lobinho-vermelho/3590350353: Baixa | https://www.bookfinder.com/isbn_search/: Baixa | ,Alta
INFANTIL,"FÁCIL DE SENTIR, DIFÍCIL DE FALAR ",HUGO MENDES,BAGAÇO,900,41,36900,9789896194749,9789896194732,"https://www.bagaco.com.br/autora/hugo-mendes/: Alta | http://www.google.com/search?hl=en&q=isbn+10+or+isbn+13+for+book+""FÁCIL+DE+SENTIR,+DIFÍCIL+DE+FALAR""+by+author+""HUGO+MENDES""+published+by+""BAGAÇO""+15/04/2025: Muito Baixa | ",Baixa
INFANTIL,FLORESTA ENCANTADA I ,VITOR MANUEL,BAGAÇO,900,36,32400,978-9897076734,978-9897076737,,
INFANTIL,HISTÓRIAS DO ARCO DA VELHA,ELITA FERREIRA,BAGAÇO,900,33,29700,9788585763190,8585763191,https://www.skoob.com.br/historias-do-arco-da-velha-400534ed453832.html: Muito Alta | https://www.estantevirtual.com.br/busca/historias-do-arco-da-velha: Alta | https://www.estantevirtual.com.br/busca/histórias-do-arco-da-velha: Alta | ,Alta
INFANTIL,NA FOLIA DOS BICHOS ,EDMILSON LIMA,BAGAÇO,900,31,27900,978-8581650975,858165097X,https://www.bagaco.com.br/produtos/na-folia-dos-bichos-edmilson-lima/: Alta | https://livrariaarcoiris.com/produto/na-folia-dos-bichos/: Alta | https://www.amazon.com.br/Na-Folia-Dos-Bichos/dp/858165097X: Alta | https://www.estantevirtual.com.br/livros/edmilson-lima: Alta | https://www.estantevirtual.com.br/livros/edmilson-lima/na-folia-dos-bichos/2711998204: Baixa | ,Alta
INFANTIL,NO OUTRO LADO DA PÁGINA ,ALEXANDRE AZEVEDO,BAGAÇO,900,33,29700,978-85-8165-086-9,,"https://www.bagaco.com.br/produtos/no-outro-lado-da-pagina-alexandre-azevedo/: Muito Alta | http://www.google.com/search?hl=en&q=isbn+10+or+isbn+13+for+book+""NO+OUTRO+LADO+DA+PÁGINA""+by+author+""ALEXANDRE+AZEVEDO""+published+by+""BAGAÇO""+15/04/2025: Muito Baixa | ",Baixa
INFANTIL,AS CORES NA CIDADE DE SÃO PAULO,JULIE TRIPENO,BAMBOLÊ,900,30,27000,9788568838030,8568838034,https://www.fnac.pt/mp25095030/As-Cores-Na-Cidade-De-Sao-Paulo: Alta | https://www.magazineluiza.com.br/livro-as-cores-na-cidade-de-sao-paulo/p/ddk5ga560f/li/lltj/: Baixa | https://loja.editorabambole.com.br/as-cores-na-cidade-de-sao-paulo: Baixa | https://produto.mercadolivre.com.br/MLB-5162607002-livro-as-cores-na-cidade-de-so-paulo-_JM: Baixa | https://www.livrariadavila.com.br/877365-as-cores-na-cidade-de-sao-paulo/p: Baixa | ,Baixa
INFANTIL,HOJE É DOMINGO,SÔNIA TRAVASSOS,BAMBOLÊ,900,30,27000,9786586749618,,https://loja.editorabambole.com.br/hoje-e-domingo: Alta | https://www.topleituras.com/livros/hoje-domingo-1486: Baixa | https://www.amazon.com/domingo-Portuguese-Gilson-osvaldo-Ribas-ebook/dp/B09MBDWMZC: Baixa | https://www.youtube.com/watch?v=Wmxo8ozV2No: Baixa | https://www.youtube.com/watch?v=9KF8vyWC7jA: Muito Baixa | ,Baixa
INFANTIL,LA EM CIMA DAQUELE MORRO,SÔNIA TRAVASSOS,BAMBOLÊ,900,63,56700,,8583131041; ISBN-13: 9788583104107,https://www.abebooks.com/books/search-number-code-10-13-digit/isbn.shtml: Baixa | https://isbnlookup.org/: Baixa | https://www.bookfinder.com/isbn_search/: Baixa | https://isbnsearch.org/: Muito Baixa | https://books.google.com/: Muito Baixa | ,Muito Baixa
INFANTIL,O LIVRO DOS TUTUS,BLANDINA FRANCO,BAMBOLÊ,900,32,28800,,"8565206483  
ISBN-13: 978-8565206488",https://www.amazon.com.br/livro-dos-tutus-monstruosos-bichos-pap%C3%B5es/dp/8565206483: Muito Alta | ,Muito Alta
INFANTIL,OS 2 PORQUINHOS E MEIO,LEO CUNHA & MARTA LAGARTA,BAMBOLÊ,900,55,49500,,8569470401; ISBN-13: 9788569470403,https://www.abebooks.com/9788569470403/porquinhos-meio-leo-cunha-outros-8569470401/plp: Muito Alta | https://www.abebooks.com/9788569470403/2-PORQUINHOS-MEIO-OS-Leo-8569470401/plp: Muito Alta | https://www.amazon.com/PORQUINHOS-MEIO-Leo-Cunha-outros/dp/8569470401: Alta | https://www.amazon.com.br/PORQUINHOS-MEIO-Leo-Cunha-outros/dp/8569470401: Alta | https://loja.editorabambole.com.br/os-2-porquinhos-e-meio: Alta | ,Alta
INFANTIL,SE ESSA RUA FOSSE MINHA,PAULA GIANNINI,BAMBOLÊ,900,63,56700,9788582471687,8582471687,,
INFANTIL,SETE CARTAS DE OUTRO PLANETA,ANA CRISTINA MELO,BAMBOLÊ,900,50,45000,9788569470007,8569470002,https://www.skoob.com.br/sete-cartas-de-outro-planeta-527045ed535016.html: Muito Alta | https://www.skoob.com.br/livro/pdf/sete-cartas-de-outro-planeta/livro:527045/edicao:535016: Muito Alta | https://www.amazon.com.br/SETE-CARTAS-OUTRO-PLANETA-CRISTINA/dp/856947069X: Muito Alta | https://www.livrariaopala.com.br/produto/sete-cartas-de-outro-planeta-ana-cristina-melo.html: Baixa | https://www.amazon.com.br/Sete-Cartas-Outro-Planeta-Cristina/dp/8569470002: Baixa | ,Alta
INFANTIL,VOCÊ FAZ EU FAÇO TAMBÉM,"MARCELO JUCÁ, VANESSA PREZOTO",BAMBOLÊ,900,58,52200,9788583301758,8583301757,https://askanydifference.com/pt/difference-between-isbn-10-and-isbn-13-with-table/: Baixa | https://pt.differkinome.com/articles/life-style/difference-between-isbn-10-and-isbn-13-2.html: Baixa | https://pt.science19.com/what-is-difference-between-isbn-13-isbn-10-11523: Muito Baixa | https://biblioteca.letras.ufrj.br/servicos/issn-isbn-e-doi/: Muito Baixa | https://pt.esdifferent.com/difference-between-isbn-10-and-isbn-13: Muito Baixa | ,Baixa
INFANTIL,CONTANDO CARNEIRINHOS,ARLENE HOLANDA ,BRASIL TROPICAL,900,50,45000,9788585529487,8585529487,,
